dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
doi_dedup___::be4974767d337a4195845cd5f7c3ac9b,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::c1893b60da03742723f70020284eac3f,"We examined the microRNAs (miRNAs) expressed in chronic lymphocytic leukemia (CLL) and identified miR-150 as the most abundant, but with leukemia cell expression levels that varied among patients. CLL cells that expressed ζ-chain–associated protein of 70 kDa (ZAP-70) or that used unmutated immunoglobulin heavy chain variable (IGHV) genes, each had a median expression level of miR-150 that was significantly lower than that of ZAP-70–negative CLL cells or those that used mutated IGHV genes. In samples stratified for expression of miR-150, CLL cells with low-level miR-150 expressed relatively higher levels of forkhead box P1 (FOXP1) and GRB2-associated binding protein 1 (GAB1), genes with 3′ untranslated regions having evolutionary-conserved binding sites for miR-150. High-level expression of miR-150 could repress expression of these genes, which encode proteins that enhance B-cell receptor signaling, a putative CLL-growth/survival signal. Also, high-level expression of miR-150 was a significant independent predictor of longer treatment-free survival or overall survival, whereas an inverse association was observed for high-level expression of GAB1 or FOXP1 for overall survival. This study demonstrates that expression of miR-150 can influence the relative expression of GAB1 and FOXP1 and the signaling potential of the B-cell receptor, thereby possibly accounting for the noted association of expression of miR-150 and disease outcome."
doi_dedup___::f1c602fca0e4278208210d814419a34b,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::f918c4c229e071fb3797702cc91e80ba,"Multi-hop relay selection is a critical issue in vehicle-to-everything networks. In previous works, the optimal hopping strategy is assumed to be based on the shortest distance. This study proposes a hopping strategy based on the lowest propagation loss, considering the effect of the environment. We use a two-step machine learning routine: improved deep encoder-decoder architecture to generate environmental maps and    ${Q}$   -learning to search for the multi-hopping path with the lowest propagation loss. Simulation results show that our proposed method can improve environmental recognition and extend the reachability of multi-hop communications by up to 66.7%, compared with a shortest-distance selection."
r3c4b2081b22::c4de4743421fb851185491e6beb285d4,"The main communication tools for the project, namely the website, social media platforms and UM Cure 2020 Consent Card, will be set-up at project start, for a release at M4. A report at M4 will describe such tools and confirm their availability."
doi_________::77173a26b06f0ccc5d55459488313c7c,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::8398d02abdcbcfbfb2c45dbcd0270e5c,Mycoplasma hyopneumoniae sRNAs sequence and features predicted. (XLSX 15Â kb)
doi_________::9e971aee5dc61f3b65d4b1f6e8136051,"Related Article: Shinaj K. Rajagopal, Or Dishi, Benny Bogoslavsky, Ori Gidron|2022|Chem.Commun.|58|13652|doi:10.1039/D2CC05434E"
doi_________::a571cb676ce30e0a476a8b24dd1ade83,"Abstract   This paper presents a novel approach to teach a vehicle how to drift, in a similar manner that professional drivers do. Specifically, a hybrid structure formed by a Model Predictive Controller and feedforward Neural Networks is employed for this purpose. The novelty of this work lies in a) the adoption of a data-based approach to achieve autonomous drifting along a wide range of road radii and body slip angles, and b) in the implementation of a road terrain classifier to adjust the system actuation depending on the current friction characteristics. The presented drift control system is implemented in a multi-actuated ground vehicle equipped with active front steering and in-wheel electric motors and trained to drift by a real test driver using a driver-in-the-loop setup. Its performance is verified in the simulation environment IPG-CarMaker through different open loop and path following drifting manoeuvres."
doi_________::b151d3360ed87e356011b908144f14ba,Belgium Herbarium image of Meise Botanic Garden.
doi_________::ec6199ab1310ccbc826a904a4a0c7244,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::0546488fa858376d63b83f29abfed9b1,"Trabajo desarrollado bajo la financiación del proyecto “Soil Hydrology research platform underpinning innovation to manage water scarcity in European and Chinese cropping Systems” (773903), coordinado por José Alfonso Gómez Calero, investigador del Instituto de Agricultura Sostenible (IAS)."
doi_dedup___::1f2edf770381a4b37437980d062d83ff,"This paper investigates the spectral efficiency (SE) of multi-cell Massive Multi-Input Multi-Output (MIMO) using different channel models. Prior works have derived closed-form SE bounds and approximations for Gaussian distributed channels, while we consider the double scattering model-a prime example of a non-Gaussian channel for which it is intractable to obtain closed form SE expressions. The channels are estimated using limited resources, which gives rise to pilot contamination, and the estimates are used for linear detection and to compute the SE numerically. Analytical and numerical examples are used to describe the key behaviors of the double scattering models, which differ from conventional Massive MIMO models. Finally, we provide multi-cell simulation results that compare the double scattering model with uncorrelated Rayleigh fading and explain under what conditions we can expect to achieve similar SEs."
doi_dedup___::4e0981aab66775236c9de7095a939657,"Abstract Spinning up a highly complex, coupled Earth system model (ESM) is a time consuming and computationally demanding exercise. For models with interactive ice sheet components, this becomes a major challenge, as ice sheets are sensitive to bidirectional feedback processes and equilibrate over glacial timescales of up to many millennia. This work describes and demonstrates a computationally tractable, iterative procedure for spinning up a contemporary, highly complex ESM that includes an interactive ice sheet component. The procedure alternates between a computationally expensive coupled configuration and a computationally cheaper configuration where the atmospheric component is replaced by a data model. By periodically regenerating atmospheric forcing consistent with the coupled system, the data atmosphere remains adequately constrained to ensure that the broader model state evolves realistically. The applicability of the method is demonstrated by spinning up the preindustrial climate in the Community Earth System Model Version 2 (CESM2), coupled to the Community Ice Sheet Model Version 2 (CISM2) over Greenland. The equilibrium climate state is similar to the control climate from a coupled simulation with a prescribed Greenland ice sheet, indicating that the iterative procedure is consistent with a traditional spin‐up approach without interactive ice sheets. These results suggest that the iterative method presented here provides a faster and computationally cheaper method for spinning up a highly complex ESM, with or without interactive ice sheet components. The method described here has been used to develop the climate/ice sheet initial conditions for transient, ice sheet‐enabled simulations with CESM2‐CISM2 in the Coupled Model Intercomparison Project Phase 6 (CMIP6)."
doi_dedup___::6b0b4ed8ed729af15d37af6f6be24767,"<p>This is the poster presented in JCDL 2021 for the demonstration submission &quot;VeTo-web: A Recommendation Tool for the Expansion of Sets of Scholars&quot; that is available online at <a href=\""http://veto.imsi.athenarc.gr/\"">http://veto.imsi.athenarc.gr/</a>.</p> <p>Abstract&mdash;Expanding a set of known experts with new ones that share similar expertise is a problem that emerges in various real-life applications. We demonstrate VeTo-web, an open source, publicly available tool that deals with this problem in the context of searching for academic experts. VeTo-web exploits analysis techniques for scholarly knowledge graphs to identify scholars that share similar research activities with a given expert group and offers a Web-based user interface to assist its users in expanding a set of academic experts with additional scholars with similar expertise.</p>"
doi_dedup___::db23ce9a19f7d8edfee1f1eedbcd6572,"Increasing evidence shows that maternal touch may promote emotion regulation in infants, however less is known about how parental higher-order social cognition abilities are translated into tactile, affect-regulatory behaviours towards their infants. During 10 min book-reading, mother-infant sessions when infants were 12 months old (N = 45), we investigated maternal mind-mindedness (MM), the social cognitive ability to understand an infant’s mental state, by coding the contingency of maternal verbal statements towards the infants’ needs and desires. We also rated spontaneous tactile interactions in terms of their emotional contingency. We found that frequent non-attuned mind-related comments were associated with touch behaviours that were not contingent with the infant’s emotions; ultimately discouraging affective tactile responses from the infant. However, comments that were more appropriate to infant’s mental states did not necessarily predict more emotionally-contingent tactile behaviours. These findings suggest that when parental high-order social cognitive abilities are compromised, they are also likely to translate into inappropriate, tactile attempts to regulate infant’s emotions. Keywords: Mind-mindedness, Mother-infant interaction, Maternal touch, Infant touch, Contingency"
doi_dedup___::e8de3e1b3f1517146a6db4c616f15080,"Real-world complex systems exhibit multiple levels of relationships. In many cases, they require to be modeled by interconnected multilayer networks, characterizing interactions on several levels simultaneously. It is of crucial importance in many fields, from economics to biology, from urban planning to social sciences, to identify the most (or the less) influent nodes in a network. However, defining the centrality of actors in an interconnected structure is not trivial. In this paper, we capitalize on the tensorial formalism, recently proposed to characterize and investigate this kind of complex topologies, to show how several centrality measures -- well-known in the case of standard (\""monoplex\"") networks -- can be extended naturally to the realm of interconnected multiplexes. We consider diagnostics widely used in different fields, e.g., computer science, biology, communication and social sciences, to cite only some of them. We show, both theoretically and numerically, that using the weighted monoplex obtained by aggregating the multilayer network leads, in general, to relevant differences in ranking the nodes by their importance."
doi_dedup___::fc6026937d0cc6bb34e375565172993f,"Magnetic twist is thought to play an important role in many structures of the solar atmosphere. One of the effects of twist is to modify the properties of the eigenmodes of magnetic tubes. In the linear regime standing kink solutions are characterized by a change in polarization of the transverse displacement along the twisted tube. In the nonlinear regime, magnetic twist affects the development of shear instabilities that appear at the tube boundary when it is oscillating laterally. These Kelvin-Helmholtz instabilities (KHI) are produced either by the jump in the azimuthal component of the velocity at the edge of the sharp boundary between the internal and external part of the tube, or either by the continuous small length-scales produced by phase-mixing when there is a smooth inhomogeneous layer. In this work the effect of twist is consistently investigated by solving the time-dependent problem including the process of energy transfer to the inhomogeneous layer. It is found that twist always delays the appearance of the shear instability but for tubes with thin inhomogeneous layers the effect is relatively small for moderate values of twist. On the contrary, for tubes with thick layers, the effect of twist is much stronger. This can have some important implications regarding observations of transverse kink modes and the KHI itself."
od______4160::cc3feec14d5689139f9f708df822e476,"The maritime industry is undergoing a transformation driven by digitalization and connectivity. There is speculation that in the next two decades the maritime industry will witness changes far exceeding those experienced over the past 100 years. While change is inevitable in the maritime domain, technological developments do not guarantee navigational safety, efficiency, or improved seaway traffic management. The International Maritime Organization (IMO) has adopted the Maritime Autonomous Surface Ships (MASS) concept to define autonomy on a scale from Degrees 1 through 4.  Investigations into the impact of MASS on various aspects of the maritime sociotechnical system is currently ongoing by academic and industry stakeholders. However, the early adoption of MASS (Degree 1), which is classified as a crewed ship with decision support, remains largely unexplored. Decision support systems are intended to support operator decision-making and improve operator performance. In practice they can cause unintended changes throughout other elements of the maritime sociotechnical system. In the maritime industry, the human is seldom put first in technology design which paradoxically introduces human-automation challenges related to technology acceptance, use, trust, reliance, and risk. The co-existence of humans and automation, as it pertains to navigation and navigational assistance, is explored throughout this thesis.   The aims of this thesis are (1) to understand how decision support will impact navigation and navigational assistance from the operator’s perspective and (2) to explore a framework to help reduce the gaps between the design and use of decision support technologies. This thesis advocates for a human-centric approach to automation design and development while exploring the broader impacts upon the maritime sociotechnical system. This work considers three different projects and four individual data collection efforts during 2017-2022. This research took place in Gothenburg, Sweden, and Warsash, UK and includes data from 65 Bridge Officers (navigators) and 16 Vessel Traffic Service (VTS) operators. Two testbeds were used to conduct the research in several full mission bridge simulators, and a virtual reality environment. A mixed methods approach, with a heavier focus on qualitative data, was adopted to understand the research problem. Methodological tools included literature reviews, observations, questionnaires, ship maneuvering data, collective interviews, think-aloud protocol, and consultation with subject matter experts. The data analysis included thematic analysis, subject matter expert consultation, and descriptive statistics.   The results show that operators perceive that decision support will impact their work, but not necessarily as expected. The operators’ positive and negative perceptions are discussed within the frameworks of human-automation interaction, decision-making, and systems thinking. The results point towards gaps in work as it is intended to be done and work as it is done in the user’s context. A user-driven design framework is proposed which allows for a systematic, flexible, and iterative design process capable of testing new technologies while involving all stakeholders. These results have led to the identification of several research gaps in relation to the overall preparedness of the shipping industry to manage the evolution toward smarter ships. This thesis will discuss these findings and advocate for human-centered automation within the quickly evolving maritime industry."
r3c4b2081b22::d3f14f19ae9434b59a502710c5b1f901,Minutes of the Senior Expert Group meeting identifying explicitely the reactor configuration to be analyzed during the project
doi_________::1036dd5142b1d9ec3f50615f7fb46574,.
doi_________::5878f99b70ae575d0c1731251a75b56a,
doi_________::7bf3c58e38300e0eed5551ba84eea6c5,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::ad0749e18f7b02fb99368545fcb9ee6d,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::b0cbe323cf8e5cb58f27255f799c1241,Belgium Herbarium image of Meise Botanic Garden.
doi_________::fc1710ab886b1cd9ba14c791aaba4f8a,"To overcome the brittleness of metallic glasses (MGs), their structure, chemistry, or loading conditions are usually controlled. Here, the local stress state in MGs was modulated without affecting their structure. The elastically designed MG heterostructures provide enhanced ductility together with strain hardening during loading. The stress heterogeneity leads to shear band multiplication that consequently enhances the macroscopic ductility of MGs. In addition, the residual compressive stress significantly increases the strength of the glass and is responsible for the observed strain hardening."
doi_dedup___::49e7f4626df13c4c7701ba7e6abec5f2,"<jats:title>Abstract</jats:title><jats:p>Generation and usage of high-quality molecular signalling network maps can be augmented by standardising notations, establishing curation workflows and application of computational biology methods to exploit the knowledge contained in the maps. In this manuscript, we summarize the major aims and challenges of assembling information in the form of comprehensive maps of molecular interactions. Mainly, we share our experience gained while creating the Atlas of Cancer Signalling Network. In the step-by-step procedure, we describe the map construction process and suggest solutions for map complexity management by introducing a hierarchical modular map structure. In addition, we describe the NaviCell platform, a computational technology using Google Maps API to explore comprehensive molecular maps similar to geographical maps, and explain the advantages of semantic zooming principles for map navigation. We also provide the outline to prepare signalling network maps for navigation using the NaviCell platform. Finally, several examples of cancer high-throughput data analysis and visualization in the context of comprehensive signalling maps are presented.</jats:p>"
doi_dedup___::685e04284b814e4dc7b9fea7daea9f56,"<jats:p>Responsible Research and Innovation (RRI) has been a central pillar of the European H2020 research framework. A social lab organized within the European project NewHoRRIzon explored ways to stimulate further integration of RRI principles (public engagement, open access, gender, ethics, science education) in the nuclear research. Under the title “Nuclear Dating”, a pilot action was designed in this lab with the aim of creating awareness of RRI among Early Career Researchers, providing a venue for experimenting interdisciplinary collaborations and stimulating their reflexivity to the wider social, ethical, and environmental issues surrounding their research. Through a joint effort of organizers and participants, this paper shares insights from this first of a kind event in the nuclear R&amp;D landscape.</jats:p>"
doi_dedup___::6e991ead80b0feec5b9b84ad78cbb28a,"We study the two-neutrino double-beta decay in 76Ge, 116Cd, 128Te, 130Te, and 150Nd, as well as the two Gamow-Teller branches that connect the double-beta decay partners with the states in the intermediate nuclei. We use a theoretical microscopic approach based on a deformed selfconsistent mean field with Skyrme interactions including pairing and spin-isospin residual forces, which are treated in a proton-neutron quasiparticle random-phase approximation. We compare our results for Gamow-Teller strength distributions with experimental information obtained from charge-exchange reactions. We also compare our results for the two-neutrino double-beta decay nuclear matrix elements with those extracted from the measured half-lives. Both single-state and low-lying-state dominance hypotheses are analyzed theoretically and experimentally making use of recent data from charge-exchange reactions and beta decay of the intermediate nuclei."
doi_dedup___::7db7ce4bd0295c014fa2953ec5e2b4c4,"<ns3:p><ns3:bold>Background:</ns3:bold> Spina bifida aperta (SBA) is a birth defect associated with severe anatomical changes in the developing fetal brain. Brain magnetic resonance imaging (MRI) atlases are popular tools for studying neuropathology in the brain anatomy, but previous fetal brain MRI atlases have focused on the normal fetal brain. We aimed to develop a spatio-temporal fetal brain MRI atlas for SBA.</ns3:p><ns3:p> <ns3:bold>Methods:</ns3:bold> We developed a semi-automatic computational method to compute the first spatio-temporal fetal brain MRI atlas for SBA. We used 90 MRIs of fetuses with SBA with gestational ages ranging from 21 to 35 weeks. Isotropic and motion-free 3D reconstructed MRIs were obtained for all the examinations. We propose a protocol for the annotation of anatomical landmarks in brain 3D MRI of fetuses with SBA with the aim of making spatial alignment of abnormal fetal brain MRIs more robust. In addition, we propose a weighted generalized Procrustes method based on the anatomical landmarks for the initialization of the atlas. The proposed weighted generalized Procrustes can handle temporal regularization and missing annotations. After initialization, the atlas is refined iteratively using non-linear image registration based on the image intensity and the anatomical land-marks. A semi-automatic method is used to obtain a parcellation of our fetal brain atlas into eight tissue types: white matter, ventricular system, cerebellum, extra-axial cerebrospinal fluid, cortical gray matter, deep gray matter, brainstem, and corpus callosum.</ns3:p><ns3:p> <ns3:bold>Results:</ns3:bold> An intra-rater variability analysis suggests that the seven anatomical land-marks are sufficiently reliable. We find that the proposed atlas outperforms a normal fetal brain atlas for the automatic segmentation of brain 3D MRI of fetuses with SBA.</ns3:p><ns3:p> <ns3:bold>Conclusions:</ns3:bold> We make publicly available a spatio-temporal fetal brain MRI atlas for SBA, available here: <ns3:ext-link xmlns:ns4=\""http://www.w3.org/1999/xlink\"" ext-link-type=\""uri\"" ns4:href=\""https://doi.org/10.7303/syn25887675\"">https://doi.org/10.7303/syn25887675</ns3:ext-link>. This atlas can support future research on automatic segmentation methods for brain 3D MRI of fetuses with SBA.</ns3:p>"
doi_dedup___::860605e9237423c26c38864589a3b34b,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::a97cc1cad2344d7947db528e1d53a2ec,"Introduction:  Integrated care systems as well as accountable care organisations (ACOs) in the US and similar concepts in other countries are advocated as an effective method of improving the performance of healthcare systems. These systems outline a payment and care delivery model that intends to tie provider reimbursements to predefined quality metrics. By this the total costs of care shall be reduced. When designing healthcare options contractors are faced with a variety of financial options. The costs of market utilisation are highly relevant for the conception of healthcare contracts; furthermore contract-specific investments are an obstacle to the efficient operation of ACOs.     Methods:  A comprehensive literature review on methods of designing contracts in Integrated Care was conducted. This article is the second in a row of three that are all published in this issue and contribute to a specific issue in designing healthcare contracts. The first dealt with the organisation of contracts and information asymmetries, while part 3 concludes with the question of risk management and evaluation. The specific research question of this second article focusses on the financial options and reimbursement schemes that are available to define healthcare contracts.     Results:  A healthcare contract is a relational contract, which determines the level of reimbursement, the scope of services and the quality between service providers and payers, taking account of the risks relating to population and performance. A relational contract is an agreement based upon assumption of a longer timeframe. A major obstacle to the practical implementation of healthcare contracts is the prognosis of the inflows and outflows due to the actuarial risks of the insured population. Financing conditions and reimbursement arrangements that are based on a prospectively determined fixed price, have a significant drawback: it is very difficult to take the differences in health status and the utilisation of distinct insured clientele (panel) into account.     Discussion and Conclusion:  The first two articles of this series on contract design have shown that complete contracts in healthcare are unrealistic. Healthcare reimbursement contracts are incomplete contracts with a high degree of uncertainty. In incomplete contracts specific contractual regulations are not made for any eventuality. For this reason it is important that the parties agree on the prevention of endogenous risks (asymmetric information after the conclusion of the contract) and on the procedure in the case of unforeseen circumstances (the risks of random, parameter risk and change risks to the healthcare program)."
doi_dedup___::af3c7623d771d6fbebe1f746182d82ce,"Glyphosate is the highest volume herbicide used worldwide, and its main biodegradation product is aminomethylphosphonic acid (AMPA), both are listed as priority substances in the Human Biomonitoring for Europe initiative (HBM4EU) which aims at improving policy by filling knowledge gaps by targeted research. The objective of the current study was to advance the sensitivity of an existing gas-chromatography tandem mass spectrometry analytical method to measure environmental population exposures. A 50% lower limit of quantification of 0.05 µg/L was achieved for both analytes by slight modifications in sample work-up, and use of another isotope labelled internal standard. In a pilot study on 41 urine samples from the general German population, glyphosate and AMPA could be quantified in 66% and 90% of the samples respectively, which is a sufficient number to reliably describe distributions of urinary concentrations in the non-occupationally exposed population This project has received funding from the Irish Research Council and from the European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 713279. peer-reviewed"
doi_dedup___::b01936e7cf2a4b2cb3909dc134e9368b,"This article argues that future generations of computer-based systems will need cognitive user interfaces to achieve sufficiently robust and intelligent human interaction. These cognitive user interfaces will be characterized by the ability to support inference and reasoning, planning under uncertainty, short-term adaptation, and long-term learning from experience. An appropriate engineering framework for such interfaces is provided by partially observable Markov decision processes (POMDPs) that integrate Bayesian belief tracking and reward-based reinforcement learning. The benefits of this approach are demonstrated by the example of a simple gesture-driven interface to an iPhone application. Furthermore, evidence is provided that humans appear to use similar mechanisms for planning under uncertainty."
doi_dedup___::d60209dfcdb0a5c931e4b2d44a85ba08,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::f0abb22cf36e12ad29ddfbc970be1163,"Let $U$ be a compact semisimple Lie group with complexification $G$ and associated Cartan involution $\\Theta$. Let $\\nu$ be an involutive complex Lie group automorphism of $G$ commuting with $\\Theta$, and consider the associated semisimple real Lie group $G_{\\nu} = \\{g\\in G\\mid \\nu(g) = \\Theta(g)\\}$. We consider $q$-deformed analogues of the $U$-orbits of the quotient space $G_{\\nu}\\backslash G$, and determine for these the associated von Neumann algebra and invariant state."
erc_________::925f6ff46e4a4f5a2a36d213517fb800,
sygma_______::96b0ff7d3141656a4b35f105e81866cf,
doi_________::1bbe63ab159efdd7072037f072685fb4,"This article is original in that it addresses post-disaster psychosocial support programs from a quality-improvement perspective, not from the traditional viewpoint of mental health services. Based on a combination of renowned quality models, a framework is sketched that offers chances to better understand and optimize the quality of post-disaster psychosocial service delivery. The quality is reflected in the program's structure, process, and outcome. Moreover, quality can be expressed in scores per criterion (i.e. need centeredness, effectiveness, safety, timeliness, efficiency, and equity) that are proposed to be related to the \""attitude\"" (more passive or active) toward affected people. When quality and attitude are combined in a 2-D parabolic model, psychosocial support is preferably found in the middle of the attitude-axis (high quality); extremely passive or active positions are to be avoided (low quality). Well-timed assessments of structure, process, and outcome aspects, and associations between them, will help planners, providers, and evaluators understand if the optimum is reached, as well as provide guidance for quality improvement."
doi_________::87c9a490130d76d16d4a132630dbbbb5,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::8ef322d8ee9ad2c414767ac35b313b50,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::de83d908cdb3037dfde76853859c0b44,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::e1f774c37909a1d64497d236b546ffb4,Belgium Herbarium image of Meise Botanic Garden.
doi_________::efc0778e75aa8a7e362a9d251ef6694d,Belgium Herbarium image of Meise Botanic Garden.
doi_________::fa9c1a6fb01dbe11ae1eb43c37acd16f,Belgium Herbarium image of Meise Botanic Garden.
doi_________::fc756590cd770af0d24c1d96fc56ed9f,"Related Article: James E. Radcliffe, Valerio Fasano, Ralph W. Adams, Peiran You, Michael J. Ingleson|2019|Chemical Science|10|1434|doi:10.1039/C8SC04305A"
doi_dedup___::abd199cde1d02ea1a2b56c3d4876946d,"Osteoporosis is a common skeletal disease characterized by a combination of low bone mass and increased fragility. In this case–control study, we investigated the possible association of two novel candidate genes, CER1 and TOB1, with bone mineral density (BMD) and fragility risk in 300 postmenopausal women of Hellenic origin. The entire CER1 and TOB1 gene sequences were amplified and resequenced to assess whether there is a correlation between these genes and BMD. We identified 26 variants in both genes. Statistical analysis did not reveal any correlation between TOB1 and osteoporosis. However, CER1 genetic analysis indicated that five polymorphisms, c.194C>G, c.507+506G>T, c.508−182A>G, c.531A>G, and c.*121T>C, were correlated, with a mean T score ≤–2.2. In particular, the greater number of vertebral fractures was found in patients with osteoporosis carrying the G allele of c.531A>G SNP (p = 0.015). When multiple logistic regression analysis was performed, only the c.507+506G>T polymorphism was independently associated with hip fractures or the presence of any fracture (OR = 6.95, p = 0.016, and OR = 5.33, p < 0.001, respectively). These results suggest that CER1 gene variations play a significant role in determining BMD and vertebral or hip fractures, which might be helpful in clinical practice to identify patients with increased fracture risk."
doi_dedup___::ad50998969711b83920c7c042392140c,"International audience; Paleogeographic maps are essential tools for understanding Earth system dynamics. They provide boundary conditions for climate and geodynamic modelling, for analysing surface processes and biotic interactions. However, the temporal and spatial distribution of key features such as seaways and mountain belts that govern climate changes and biotic interchange differ between various paleogeographies that require regular updates with new data and models. We developed a reproducible and systematic approach to paleogeographic reconstruction and provide a set of worldwide Cenozoic paleogeographic maps at 60, 40 and 20 Ma. We followed a six-stage methodology that integrates an extensive review of geological data into a coherent plate tectonic model using the open source software GPlates. (1) We generated a global plate kinematic model, and reconstructed intensely-deformed plate boundaries using a review of structural, paleomagnetic and other geologic data in six key regions: the Andes, the North American Cordillera, the Scotia Arc, Africa, the Mediterranean region and the Tibetan-Himalayan collision zone. (2) We modified previously published paleobathymetry in several regions where continental and oceanic crust overlap due to differences in the plate models. (3) We then defined paleoshorelines using updated fossil and geologic databases to locate the terrestrial to marine transition. (4) We applied isostatic compensation in polar regions and global eustatic sea level adjustments. (5) Paleoelevations were estimated using a broad range of data including thermochronology and stable isotopes, combined with paleobotanical (mostly pollen and leaf physiognomy), structural and geomorphological data. We address ongoing controversies on the mechanisms and chronology of India-Asia collision by providing alternate reconstructions for each time slice. We finally discuss the implications of our reconstructions on the Cenozoic evolution of continental weatherability and review methodological limitations and potential improvements. Future addition of new data, tools and reconstructions can be accommodated through a dedicated interactive website tool (https://map.paleoenvironment.eu/) that enables users to interactively upload and download data and compare with other models, and generate their own plots. Our aim is to regularly update the models presented here with new data as they become available."
doi_dedup___::c6c7e35ee69dd2ee927d386609375276,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
od______3256::ae178c2838af6aa720531406e110abac,
r39633d1e8c4::1eee86cb5ff8ef0f6200020c111f0337,
sygma_______::40b85ee541a2da4ce9e805a5ad64ab66,"A systematic approach to maximise estimates on the region of attraction in the exponential stabilisation of geometrically exact (nonlinear) beam models via boundary feedback is presented. Starting from recently established stability results based on Lyapunov arguments, the main contribution of the presented work is to maximise the analytically found bounds on the initial datum, for which local exponential stability is guaranteed, via search of (optimal) polynomial Lyapunov functionals using an iterative semi-definite programming approach."
doi_________::06bb7570c578757f3762e148e72c3a30,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::0af60af39e59ab7cb30e9a5f66745879,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::ad8a08231243fa5b43090fce5dc2a292,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::b06b34e17434d37a506650f32d4d8aa4,Belgium Herbarium image of Meise Botanic Garden.
doi_________::b461ce13989571b17863b468e5f0ca86,Belgium Herbarium image of Meise Botanic Garden.
doi_________::dcb41f4f01f988068a0dba48be86bc48,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::023246b602fcdf114e10a7b4c50af054,"<p>The importance of questioning the values, background assumptions, and normative orientations shaping sustainability research has been increasingly acknowledged, particularly in the context of transdisciplinary research, which aims to integrate knowledge from various scientific and societal bodies of knowledge. Nonetheless, the concept of reflexivity underlying transdisciplinary research is not sufficiently clarified and, as a result, is hardly able to support the development of social learning and social experimentation processes needed to support sustainability transitions. In particular, the concept of reflexivity is often restricted to building social legitimacy for the results of a new kind of &lsquo;complex systems science&rsquo;, with little consideration of the role of non-scientific expertise and social innovators in the design of the research practice itself.</p> <p>The key hypothesis of the paper is that transdisciplinary research would benefit from adopting a pragmatist approach to reflexivity. Such an approach relates reflexivity to collective processes of problem framing and problem solving through joint experimentation and social learning that directly involve the scientific and extra-scientific expertise. To test this hypothesis, the paper proposes a framework for analysing the different types of reflexive processes that play role in transdisciplinary research. The main conclusion of the analysis is the need to combine conventional consensus-oriented deliberative approaches to reflexivity with more open-ended, action-oriented transformative approaches.</p>"
doi_dedup___::618ed58c34e55b34cd5b638473642da7,"Much of the functionality of multicellular systems arises from the spatial organization and dynamic behaviours within and between cells. Current single-cell genomic methods only provide a transcriptional ‘snapshot’ of individual cells. The real-time analysis and perturbation of living cells would generate a step change in single-cell analysis. Here we describe minimally invasive nanotweezers that can be spatially controlled to extract samples from living cells with single-molecule precision. They consist of two closely spaced electrodes with gaps as small as 10–20 nm, which can be used for the dielectrophoretic trapping of DNA and proteins. Aside from trapping single molecules, we also extract nucleic acids for gene expression analysis from living cells without affecting their viability. Finally, we report on the trapping and extraction of a single mitochondrion. This work bridges the gap between single-molecule/organelle manipulation and cell biology and can ultimately enable a better understanding of living cells. A nanotweezer system based on dielectrophoresis can trap, manipulate and extract biomolecules and organelles in living cells at physiological conditions with high spatiotemporal resolution and minimal invasiveness."
